Customer_ID,Customer_Name,Customer_Type,Industry,Region,Contract_Type,Credit_Terms
CUST_0001,Arjun Logistics,b2b,Healthcare,APAC,Annual,Net30
CUST_0002,Arjun Distributors,B2B,Ecommerce,APAC,Annual,Net30
CUST_0003,Krishna Solutions,b2b,Automotive,North America,Annual,Net60
CUST_0004,Ishaan Retail,b2b,Healthcare,APAC,Annual,Net60
CUST_0005,Rohan Corporation,B2B,Retail,Europe,Annual,Net30
CUST_0006,Neha Industries,B2C,Healthcare,North America,Quarterly,Net30
CUST_0007,Ananya Distributors,B2B,Ecommerce,APAC,Quarterly,Net60
CUST_0008,Karan Solutions,b2b,Automotive,APAC,Annual,Net60
CUST_0009,Aditya Solutions,B2B,Ecommerce,Europe,Quarterly,Net60
CUST_0010,Vihaan Traders,B2C,Retail,North America,Quarterly,Net30
CUST_0011,Vikas Enterprises,b2b,Retail,APAC,Quarterly,Net60
CUST_0012,Shaurya Distributors,B2B,Healthcare,APAC,Annual,Net30
CUST_0013,Rohan Global,B2C,Automotive,APAC,Quarterly,Net30
CUST_0014,Sneha Global,b2b,Ecommerce,APAC,Quarterly,Net30
CUST_0015,Ishaan Distributors,b2b,Healthcare,North America,Quarterly,Net60
CUST_0016,Rahul Solutions,B2B,Ecommerce,APAC,Annual,Net30
CUST_0017,Reyansh Enterprises,b2b,Ecommerce,North America,Annual,Net60
CUST_0018,Neha Supply,B2C,Healthcare,North America,Annual,Net30
CUST_0019,Amit Corporation,b2b,Healthcare,APAC,Quarterly,Net60
CUST_0020,Vihaan Retail,B2B,Healthcare,North America,Annual,Net30
CUST_0021,Atharv Distributors,b2b,Retail,APAC,Quarterly,Net30
CUST_0022,Amit Distributors,B2B,Healthcare,Europe,Annual,Net30
CUST_0023,Rahul Corporation,B2B,Automotive,APAC,Annual,Net30
CUST_0024,Sneha Industries,b2b,Retail,APAC,Quarterly,Net30
CUST_0025,Shaurya Distributors,b2b,Ecommerce,APAC,Annual,Net60
CUST_0026,Neha Traders,B2C,Ecommerce,APAC,Annual,Net30
CUST_0027,Aditya Traders,B2B,Retail,North America,Annual,Net30
CUST_0028,Aditya Logistics,B2B,Automotive,APAC,Quarterly,Net30
CUST_0029,Pooja Solutions,B2C,Ecommerce,APAC,Annual,Net60
CUST_0030,Ishaan Retail,B2C,Retail,APAC,Annual,Net60
CUST_0031,Rahul Global,B2C,Ecommerce,North America,Annual,Net30
CUST_0032,Vivaan Global,b2b,Healthcare,APAC,Annual,Net30
CUST_0033,Krishna Distributors,B2C,Retail,Europe,Annual,Net60
CUST_0034,Ananya Solutions,B2B,Ecommerce,North America,Annual,Net30
CUST_0035,Amit Logistics,B2B,Retail,APAC,Quarterly,Net60
CUST_0036,Sneha Solutions,B2C,Automotive,APAC,Quarterly,Net30
CUST_0037,Neha Corporation,B2C,Healthcare,Europe,Quarterly,Net30
CUST_0038,Krishna Corporation,B2B,Automotive,North America,Annual,Net60
CUST_0039,Vivaan Logistics,b2b,Ecommerce,North America,Annual,Net30
CUST_0040,Pooja Industries,B2B,Automotive,North America,Annual,Net30
CUST_0041,Neha Industries,b2b,Retail,North America,Annual,Net30
CUST_0042,Priya Supply,b2b,Healthcare,Europe,Annual,Net60
CUST_0043,Ishaan Corporation,B2C,Retail,North America,Quarterly,Net60
CUST_0044,Rohan Industries,B2B,Ecommerce,North America,Annual,Net30
CUST_0045,Amit Solutions,b2b,Healthcare,APAC,Quarterly,Net30
CUST_0046,Ishaan Traders,B2C,Retail,Europe,Quarterly,Net30
CUST_0047,Amit Corporation,b2b,Automotive,APAC,Quarterly,Net30
CUST_0048,Arjun Distributors,B2B,Healthcare,Europe,Annual,Net60
CUST_0049,Krishna Corporation,b2b,Ecommerce,Europe,Annual,Net30
CUST_0050,Priya Corporation,B2B,Automotive,Europe,Annual,Net60
CUST_0051,Vihaan Retail,b2b,Ecommerce,North America,Annual,Net30
CUST_0052,Aditya Enterprises,b2b,Automotive,Europe,Annual,Net60
CUST_0053,Reyansh Logistics,B2C,Healthcare,APAC,Quarterly,Net30
CUST_0054,Ishaan Industries,B2C,Ecommerce,North America,Annual,Net30
CUST_0055,Vihaan Enterprises,B2C,Automotive,APAC,Quarterly,Net60
CUST_0056,Ishaan Corporation,B2B,Automotive,Europe,Annual,Net60
CUST_0057,Ishaan Solutions,B2C,Healthcare,Europe,Annual,Net30
CUST_0058,Aarav Solutions,B2C,Healthcare,Europe,Annual,Net60
CUST_0059,Rahul Distributors,B2C,Healthcare,APAC,Annual,Net60
CUST_0060,Vihaan Supply,B2C,Automotive,APAC,Quarterly,Net60
CUST_0061,Rohan Global,b2b,Automotive,Europe,Annual,Net60
CUST_0062,Vivaan Global,B2B,Retail,Europe,Quarterly,Net30
CUST_0063,Rohan Supply,B2C,Automotive,North America,Quarterly,Net60
CUST_0064,Priya Traders,B2C,Healthcare,North America,Annual,Net30
CUST_0065,Priya Global,b2b,Retail,North America,Quarterly,Net60
CUST_0066,Amit Logistics,B2C,Healthcare,APAC,Quarterly,Net60
CUST_0067,Ananya Retail,B2C,Retail,North America,Quarterly,Net30
CUST_0068,Aditya Corporation,b2b,Healthcare,APAC,Annual,Net60
CUST_0069,Ishaan Solutions,B2B,Automotive,APAC,Annual,Net60
CUST_0070,Vikas Industries,B2C,Ecommerce,North America,Annual,Net60
CUST_0071,Sneha Global,B2B,Retail,North America,Annual,Net30
CUST_0072,Priya Solutions,B2B,Ecommerce,APAC,Annual,Net30
CUST_0073,Ananya Enterprises,B2C,Healthcare,Europe,Quarterly,Net60
CUST_0074,Vihaan Retail,B2C,Healthcare,APAC,Quarterly,Net60
CUST_0075,Ishaan Corporation,B2C,Automotive,North America,Quarterly,Net30
CUST_0076,Shaurya Traders,B2C,Automotive,APAC,Annual,Net30
CUST_0077,Neha Enterprises,b2b,Retail,APAC,Quarterly,Net60
CUST_0078,Rohan Distributors,B2C,Ecommerce,APAC,Annual,Net60
CUST_0079,Neha Supply,b2b,Automotive,North America,Quarterly,Net60
CUST_0080,Aarav Traders,B2C,Ecommerce,Europe,Annual,Net60
CUST_0081,Ishaan Corporation,B2C,Ecommerce,APAC,Quarterly,Net60
CUST_0082,Neha Enterprises,B2C,Retail,North America,Annual,Net60
CUST_0083,Karan Supply,b2b,Automotive,APAC,Quarterly,Net30
CUST_0084,Ananya Enterprises,B2B,Healthcare,Europe,Quarterly,Net30
CUST_0085,Ananya Traders,B2C,Ecommerce,Europe,Quarterly,Net60
CUST_0086,Aditya Retail,B2B,Automotive,Europe,Annual,Net30
CUST_0087,Vivaan Logistics,B2B,Retail,APAC,Annual,Net30
CUST_0088,Reyansh Retail,b2b,Automotive,North America,Annual,Net60
CUST_0089,Shaurya Traders,B2B,Automotive,APAC,Quarterly,Net30
CUST_0090,Karan Logistics,B2C,Ecommerce,Europe,Annual,Net30
CUST_0091,Karan Solutions,B2B,Healthcare,North America,Annual,Net30
CUST_0092,Rahul Distributors,B2C,Healthcare,APAC,Quarterly,Net30
CUST_0093,Priya Retail,B2B,Ecommerce,Europe,Quarterly,Net30
CUST_0094,Priya Enterprises,b2b,Healthcare,North America,Quarterly,Net60
CUST_0095,Priya Supply,B2C,Healthcare,APAC,Annual,Net60
CUST_0096,Ananya Solutions,B2C,Ecommerce,Europe,Annual,Net60
CUST_0097,Rohan Enterprises,B2C,Retail,Europe,Quarterly,Net60
CUST_0098,Shaurya Supply,b2b,Healthcare,North America,Annual,Net30
CUST_0099,Aditya Solutions,b2b,Ecommerce,Europe,Annual,Net60
CUST_0100,Sneha Retail,B2B,Automotive,Europe,Annual,Net60
CUST_0101,Ishaan Corporation,b2b,Healthcare,Europe,Quarterly,Net60
