Inventory_ID,Warehouse_ID,Product_ID,Inventory_Date,Opening_Stock,Inbound_Qty,Outbound_Qty,Closing_Stock,Storage_Cost
INV_100000,WH_07,PROD_0211,26/07/2024,2885,1029,781,3133.0,3321.88
INV_100001,WH_05,PROD_0210,21/02/2024,564,433,1240,-243.0,-289.91
INV_100002,WH_02,PROD_0058,06/09/2024,3502,749,658,3593.0,4554.95
INV_100003,WH_10,PROD_0271,18/03/2024,3105,1291,853,3543.0,2102.29
INV_100004,WH_06,PROD_0216,05/06/2024,3357,1001,132,4226.0,3727.2
INV_100005,WH_08,PROD_0095,19/04/2024,1631,1342,826,2147.0,3208.92
INV_100006,WH_05,PROD_0113,29/07/2024,4650,771,758,4663.0,5939.32
INV_100007,WH_05,PROD_0248,23/10/2024,2955,674,1294,2335.0,1196.27
INV_100008,WH_13,PROD_0105,19/09/2024,4638,1070,979,4729.0,5947.52
INV_100009,WH_08,PROD_0062,06/07/2024,2715,1291,301,3705.0,3473.49
INV_100010,WH_05,PROD_0286,16/01/2024,3750,395,1249,2896.0,2600.76
INV_100011,WH_15,PROD_0046,25/09/2024,2545,542,789,2298.0,2116.02
INV_100012,WH_14,PROD_0287,08/10/2024,3814,629,1059,3384.0,1871.96
INV_100013,WH_02,PROD_0235,21/08/2024,2180,991,1032,2139.0,1441.67
INV_100014,WH_14,PROD_0058,12/11/2024,694,440,564,570.0,419.47
INV_100015,WH_02,PROD_0143,10/06/2024,870,429,201,,0.0
INV_100016,WH_14,PROD_0158,01/01/2024,4044,377,678,3743.0,5562.73
INV_100017,WH_03,PROD_0067,04/06/2024,719,1364,164,1919.0,1839.1
INV_100018,WH_06,PROD_0205,27/10/2024,2978,407,721,2664.0,2443.46
INV_100019,WH_09,PROD_0073,13/04/2024,661,752,1422,-9.0,-12.86
INV_100020,WH_03,PROD_0258,26/05/2024,737,916,1053,600.0,535.66
INV_100021,WH_14,PROD_0089,15/03/2024,3207,789,799,3197.0,2848.92
INV_100022,WH_10,PROD_0237,25/12/2024,4861,335,1016,4180.0,2105.52
INV_100023,WH_01,PROD_0259,22/01/2024,1459,1445,288,2616.0,3502.75
INV_100024,WH_05,PROD_0298,24/11/2024,2795,1036,1328,2503.0,1360.83
INV_100025,WH_15,PROD_0268,16/09/2024,1214,863,1165,912.0,574.54
INV_100026,WH_13,PROD_0030,29/11/2024,3555,1137,241,4451.0,5162.61
INV_100027,WH_13,PROD_0260,03/03/2024,2028,1056,435,2649.0,3030.36
INV_100028,WH_06,PROD_0020,25/07/2024,2764,317,980,2101.0,1785.79
INV_100029,WH_09,PROD_0174,15/02/2024,4127,488,320,4295.0,3560.13
INV_100030,WH_03,PROD_0267,19/07/2024,1633,1255,1053,1835.0,1671.96
INV_100031,WH_01,PROD_0089,09/04/2024,4335,339,1419,3255.0,4801.3
INV_100032,WH_12,PROD_0229,28/09/2024,3602,1247,405,4444.0,5476.09
INV_100033,WH_08,PROD_0299,07/06/2024,1007,1220,1263,964.0,955.63
INV_100034,WH_12,PROD_0254,25/08/2024,941,802,372,1371.0,1168.24
INV_100035,WH_10,PROD_0074,11/09/2024,776,1204,890,1090.0,1043.2
INV_100036,WH_13,PROD_0097,04/03/2024,3761,1308,1407,3662.0,2229.25
INV_100037,WH_12,PROD_0278,17/07/2024,2851,1395,194,4052.0,5308.05
INV_100038,WH_07,PROD_0272,01/11/2024,547,1436,614,1369.0,1455.99
INV_100039,WH_09,PROD_0189,26/04/2024,4543,139,681,4001.0,3306.57
INV_100040,WH_14,PROD_0202,11/05/2024,2550,357,567,2340.0,1583.69
INV_100041,WH_05,PROD_0204,15/12/2024,1501,1362,992,1871.0,2334.51
INV_100042,WH_08,PROD_0164,17/12/2024,579,1485,1467,597.0,636.61
INV_100043,WH_15,PROD_0214,01/05/2024,3731,149,1012,2868.0,4301.69
INV_100044,WH_08,PROD_0300,19/03/2024,1197,440,680,,0.0
INV_100045,WH_08,PROD_0172,14/02/2024,1643,1470,651,2462.0,2210.13
INV_100046,WH_01,PROD_0109,16/06/2024,3731,234,1417,2548.0,1482.67
INV_100047,WH_10,PROD_0243,29/05/2024,3371,1023,554,,0.0
INV_100048,WH_05,PROD_0278,08/04/2024,3477,371,670,3178.0,4448.42
INV_100049,WH_07,PROD_0159,10/06/2024,1199,265,733,731.0,536.08
INV_100050,WH_03,PROD_0142,07/01/2024,2953,1317,771,3499.0,2109.25
INV_100051,WH_09,PROD_0222,14/05/2024,4735,795,1328,4202.0,3866.84
INV_100052,WH_12,PROD_0184,06/12/2024,2844,1166,126,3884.0,2474.34
INV_100053,WH_08,PROD_0151,21/11/2024,1763,1213,439,2537.0,3282.18
INV_100054,WH_03,PROD_0260,25/11/2024,2052,391,558,1885.0,1254.04
INV_100055,WH_13,PROD_0142,28/12/2024,3211,1420,773,3858.0,5375.85
INV_100056,WH_15,PROD_0140,27/01/2024,762,870,1169,463.0,237.89
INV_100057,WH_08,PROD_0049,20/10/2024,538,899,1070,367.0,407.46
INV_100058,WH_02,PROD_0056,10/08/2024,1735,171,1459,447.0,530.32
INV_100059,WH_01,PROD_0179,09/07/2024,1699,1169,482,2386.0,2956.09
INV_100060,WH_11,PROD_0003,29/11/2024,2800,337,1316,1821.0,2189.12
INV_100061,WH_11,PROD_0234,05/01/2024,2396,1291,1442,2245.0,2783.98
INV_100062,WH_03,PROD_0049,08/01/2024,4420,177,712,3885.0,5255.94
INV_100063,WH_02,PROD_0289,23/10/2024,3192,945,236,3901.0,3825.19
INV_100064,WH_08,PROD_0032,13/08/2024,3357,440,843,2954.0,3054.02
INV_100065,WH_10,PROD_0149,19/05/2024,2226,845,1373,1698.0,1620.73
INV_100066,WH_02,PROD_0068,11/01/2024,3551,301,369,3483.0,3658.2
INV_100067,WH_06,PROD_0003,25/10/2024,3831,1385,840,4376.0,4679.48
INV_100068,WH_04,PROD_0002,07/07/2024,4421,178,313,4286.0,4836.27
INV_100069,WH_04,PROD_0143,12/05/2024,4945,720,1011,4654.0,2886.45
INV_100070,WH_13,PROD_0080,06/06/2024,1376,571,895,1052.0,1388.89
INV_100071,WH_03,PROD_0241,27/11/2024,2157,971,153,2975.0,3997.78
INV_100072,WH_02,PROD_0252,06/08/2024,1985,1038,111,2912.0,1587.77
INV_100073,WH_04,PROD_0166,04/08/2024,2553,118,368,2303.0,2415.7
INV_100074,WH_06,PROD_0175,22/03/2024,4954,1041,1310,4685.0,5032.69
INV_100075,WH_03,PROD_0035,04/08/2024,1272,167,216,1223.0,1345.42
INV_100076,WH_03,PROD_0118,04/10/2024,4023,1084,185,4922.0,4714.01
INV_100077,WH_11,PROD_0152,17/01/2024,1587,825,113,2299.0,2929.63
INV_100078,WH_08,PROD_0206,26/05/2024,886,273,1060,,0.0
INV_100079,WH_01,PROD_0193,14/01/2024,2540,1432,1247,2725.0,1886.82
INV_100080,WH_04,PROD_0115,18/08/2024,3855,287,483,3659.0,5365.69
INV_100081,WH_10,PROD_0222,16/09/2024,3335,959,1136,3158.0,2100.37
INV_100082,WH_03,PROD_0145,09/08/2024,2352,620,1088,,0.0
INV_100083,WH_10,PROD_0265,16/10/2024,3215,1373,1332,3256.0,3017.97
INV_100084,WH_11,PROD_0172,16/01/2024,3941,368,221,4088.0,3590.62
INV_100085,WH_01,PROD_0268,30/04/2024,1647,1145,369,2423.0,3626.33
INV_100086,WH_10,PROD_0265,02/08/2024,1904,489,532,1861.0,1188.05
INV_100087,WH_08,PROD_0131,07/10/2024,4433,1082,163,5352.0,6785.96
INV_100088,WH_02,PROD_0098,10/02/2024,1923,1203,481,2645.0,3933.45
INV_100089,WH_02,PROD_0071,03/05/2024,4258,1261,1351,4168.0,2342.93
INV_100090,WH_02,PROD_0230,02/06/2024,3368,811,494,3685.0,3993.1
INV_100091,WH_07,PROD_0252,23/02/2024,2917,897,1209,2605.0,3234.92
INV_100092,WH_04,PROD_0191,16/02/2024,2834,1032,312,3554.0,4120.91
INV_100093,WH_03,PROD_0137,03/01/2024,3918,337,1429,2826.0,2305.99
