PO_ID,Supplier_ID,Product_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Quantity_Ordered,Quantity_Received,Unit_Cost,PO_Status
PO_100000,SUP_173,PROD_0025,15-04-2024,2024-04-22,2024-04-20,1316,1180,57,Delayed
PO_100001,SUP_199,PROD_0029,23-01-2024,2024-02-09,2024-02-13,579,509,316,Delayed
PO_100002,SUP_173,PROD_0165,2024/05/28,2024-06-09,2024-06-15,753,670,335,Open
PO_100003,SUP_152,PROD_0090,14-03-2024,2024-03-26,2024-03-29,715,687,180,Delayed
PO_100004,SUP_135,PROD_0164,2024/08/06,2024-08-26,2024-08-23,805,773,369,Open
PO_100005,SUP_122,PROD_0124,2024/07/28,2024-08-06,2024-08-07,870,796,134,Open
PO_100006,SUP_107,PROD_0286,2024/12/28,2025-01-06,2025-01-10,1973,1948,69,Closed
PO_100007,SUP_116,PROD_0190,2024/07/17,2024-07-29,2024-07-30,516,449,209,Delayed
PO_100008,SUP_011,PROD_0038,2024/04/07,2024-04-13,2024-04-14,872,789,384,Delayed
PO_100009,SUP_078,PROD_0008,2024/12/09,2024-12-20,2024-12-24,527,474,485,Closed
PO_100010,SUP_102,PROD_0123,2024/03/01,2024-03-21,2024-03-21,1524,1436,349,Open
PO_100011,SUP_067,PROD_0185,24-05-2024,2024-06-10,2024-06-14,1192,1144,372,Open
PO_100012,SUP_053,PROD_0190,26-08-2024,2024-09-03,2024-09-07,1659,1490,469,Open
PO_100013,SUP_150,PROD_0297,2024/01/24,2024-02-05,2024-02-04,133,126,173,Open
PO_100014,SUP_063,PROD_0256,2024/03/19,2024-03-30,2024-04-01,571,555,234,Delayed
PO_100015,SUP_186,PROD_0252,16-12-2024,2024-12-31,2025-01-01,1663,1530,460,Closed
PO_100016,SUP_139,PROD_0031,29-06-2024,2024-07-09,2024-07-08,1575,1472,319,Closed
PO_100017,SUP_060,PROD_0035,2024/02/08,2024-02-14,2024-02-11,944,840,110,Closed
PO_100018,SUP_158,PROD_0248,2024/04/21,2024-05-10,2024-05-12,223,220,356,Closed
PO_100019,SUP_138,PROD_0147,2024/01/04,2024-01-22,2024-01-19,134,113,311,Delayed
PO_100020,SUP_062,PROD_0099,2024/12/23,2025-01-10,2025-01-09,319,310,89,Delayed
PO_100021,SUP_104,PROD_0236,09-05-2024,2024-05-25,2024-05-26,1728,1592,243,Delayed
PO_100022,SUP_009,PROD_0048,2024/04/25,2024-05-09,2024-05-07,1438,1325,479,Open
PO_100023,SUP_022,PROD_0256,2024/07/12,2024-08-01,2024-07-29,1404,1304,44,Delayed
PO_100024,SUP_178,PROD_0291,18-06-2024,2024-06-26,2024-07-01,1982,1927,61,Open
PO_100025,SUP_009,PROD_0092,2024/01/24,2024-01-31,2024-02-01,1941,1810,318,Closed
PO_100026,SUP_062,PROD_0291,16-04-2024,2024-04-25,2024-04-28,257,242,193,Delayed
PO_100027,SUP_177,PROD_0041,03-10-2024,2024-10-18,2024-10-21,1647,1527,418,Delayed
PO_100028,SUP_088,PROD_0204,2024/06/26,2024-07-02,2024-06-30,995,928,158,Closed
PO_100029,SUP_097,PROD_0222,20-11-2024,2024-12-03,2024-12-07,1104,985,156,Delayed
PO_100030,SUP_064,PROD_0038,26-10-2024,2024-11-12,2024-11-10,1681,1449,356,Open
PO_100031,SUP_028,PROD_0047,19-03-2024,2024-04-05,2024-04-04,1614,1372,239,Open
PO_100032,SUP_111,PROD_0230,15-08-2024,2024-08-31,2024-09-01,309,297,107,Delayed
PO_100033,SUP_024,PROD_0167,19-09-2024,2024-10-07,2024-10-05,153,142,85,Closed
PO_100034,SUP_144,PROD_0125,2024/05/29,2024-06-16,2024-06-19,1695,1526,83,Delayed
PO_100035,SUP_038,PROD_0033,13-07-2024,2024-07-23,2024-07-22,650,573,194,Open
PO_100036,SUP_065,PROD_0127,21-05-2024,2024-06-08,2024-06-09,1091,1087,440,Open
PO_100037,SUP_102,PROD_0171,31-10-2024,2024-11-11,2024-11-15,319,310,109,Open
PO_100038,SUP_167,PROD_0070,2024/06/17,2024-07-06,2024-07-08,981,909,457,Open
PO_100039,SUP_082,PROD_0150,2024/11/04,2024-11-15,2024-11-19,743,725,130,Delayed
PO_100040,SUP_072,PROD_0202,20-11-2024,2024-12-10,2024-12-16,1701,1631,164,Closed
PO_100041,SUP_141,PROD_0014,2024/10/15,2024-10-26,2024-11-01,1217,1152,132,Delayed
PO_100042,SUP_105,PROD_0256,17-04-2024,2024-05-06,2024-05-07,1802,1602,394,Delayed
PO_100043,SUP_097,PROD_0038,2024/06/04,2024-06-16,2024-06-17,1448,1344,118,Delayed
PO_100044,SUP_140,PROD_0019,2024/09/02,2024-09-19,2024-09-24,1137,1058,485,Delayed
PO_100045,SUP_091,PROD_0086,2024/10/01,2024-10-08,2024-10-06,1674,1587,167,Delayed
PO_100046,SUP_026,PROD_0133,23-01-2024,2024-02-09,2024-02-11,1730,1583,260,Delayed
PO_100047,SUP_174,PROD_0257,22-09-2024,2024-10-04,2024-10-08,866,774,240,Open
PO_100048,SUP_022,PROD_0060,2024/01/13,2024-02-02,2024-01-31,705,705,252,Delayed
PO_100049,SUP_134,PROD_0248,2024/03/13,2024-03-29,2024-03-30,802,725,273,Open
PO_100050,SUP_182,PROD_0059,19-02-2024,2024-03-09,2024-03-13,753,642,74,Open
PO_100051,SUP_142,PROD_0082,2024/11/27,2024-12-05,2024-12-04,1616,1457,164,Delayed
PO_100052,SUP_048,PROD_0222,2024/08/06,2024-08-25,2024-08-25,1733,1675,247,Closed
PO_100053,SUP_181,PROD_0110,10-11-2024,2024-11-21,2024-11-25,1312,1167,259,Open
PO_100054,SUP_048,PROD_0188,2024/12/26,2025-01-02,2025-01-08,308,281,449,Closed
PO_100055,SUP_164,PROD_0161,22-08-2024,2024-08-30,2024-08-31,1473,1404,481,Open
PO_100056,SUP_118,PROD_0089,08-11-2024,2024-11-25,2024-12-01,333,326,218,Delayed
PO_100057,SUP_030,PROD_0094,01-06-2024,2024-06-08,2024-06-07,741,676,100,Delayed
PO_100058,SUP_109,PROD_0096,2024/03/13,2024-03-30,2024-04-02,1321,1246,110,Delayed
PO_100059,SUP_048,PROD_0162,02-10-2024,2024-10-12,2024-10-17,441,431,290,Delayed
PO_100060,SUP_099,PROD_0288,28-01-2024,2024-02-13,2024-02-10,1092,1057,109,Delayed
PO_100061,SUP_126,PROD_0086,2024/09/10,2024-09-28,2024-10-02,951,829,403,Delayed
PO_100062,SUP_074,PROD_0087,16-01-2024,2024-01-28,2024-01-29,166,165,180,Open
PO_100063,SUP_069,PROD_0279,2024/10/16,2024-11-05,2024-11-10,1146,1067,97,Delayed
PO_100064,SUP_168,PROD_0127,22-01-2024,2024-02-10,2024-02-15,547,502,257,Closed
PO_100065,SUP_031,PROD_0122,18-08-2024,2024-08-31,2024-09-02,1865,1692,458,Delayed
PO_100066,SUP_036,PROD_0106,28-10-2024,2024-11-13,2024-11-19,1395,1393,259,Closed
PO_100067,SUP_083,PROD_0150,2024/01/31,2024-02-16,2024-02-21,675,610,345,Delayed
PO_100068,SUP_016,PROD_0142,16-05-2024,2024-05-24,2024-05-23,1636,1611,442,Delayed
