Sales_Order_ID,Customer_ID,Product_ID,Order_Date,Quantity_Ordered,Order_Value,Order_Channel,Order_Status
SO_100000,CUST_0201,PROD_0193,2024-09-07,418,340670,Direct,Cancelled
SO_100001,CUST_0091,PROD_0285,2024-08-29,475,128250,Direct,Cancelled
SO_100002,CUST_0125,PROD_0175,2024-11-26,354,252402,Online,Completed
SO_100003,CUST_0341,PROD_0057,2024-06-11,426,299052,Online,Completed
SO_100004,CUST_0152,PROD_0263,2024-07-23,248,169136,Direct,Completed
SO_100005,CUST_0452,PROD_0010,2024-06-06,387,328950,Direct,Completed
SO_100006,CUST_0268,PROD_0077,2024-04-05,211,115417,Online,Pending
SO_100007,CUST_0497,PROD_0095,2024-01-15,402,181302,Direct,Cancelled
SO_100008,CUST_0409,PROD_0053,2024-09-21,101,54843,Distributor,Pending
SO_100009,CUST_0002,PROD_0126,2024-07-06,324,311688,Direct,Completed
SO_100010,CUST_0382,PROD_0266,2024-12-19,293,245534,Direct,Pending
SO_100011,CUST_0126,PROD_0102,2024-09-15,455,141505,Direct,Pending
SO_100012,CUST_0303,PROD_0215,2024-09-01,214,32314,Distributor,Pending
SO_100013,CUST_0105,PROD_0194,2024-04-18,353,96016,Distributor,Cancelled
SO_100014,CUST_0058,PROD_0226,2024-09-02,298,198468,Direct,Completed
SO_100015,CUST_0043,PROD_0202,2024-02-20,373,262592,Distributor,Pending
SO_100016,CUST_0263,PROD_0117,2024-01-27,302,103284,Online,Pending
SO_100017,CUST_0388,PROD_0130,2024-07-14,155,17825,Online,Pending
SO_100018,CUST_0307,PROD_0179,2024-11-12,204,137904,Online,Completed
SO_100019,CUST_0346,PROD_0130,2024-12-29,129,113649,Distributor,Cancelled
SO_100020,CUST_0203,PROD_0256,2024-09-28,416,265824,Distributor,Cancelled
SO_100021,CUST_0478,PROD_0152,2024-07-30,266,33782,Online,Cancelled
SO_100022,CUST_0055,PROD_0046,2024-02-01,396,143352,Distributor,Pending
SO_100023,CUST_0306,PROD_0297,2024-11-06,166,71214,Distributor,Pending
SO_100024,CUST_0243,PROD_0160,2024-01-26,235,123610,Distributor,Cancelled
SO_100025,CUST_0010,PROD_0134,2024-06-29,70,27930,Distributor,Completed
SO_100026,CUST_0469,PROD_0114,2024-02-18,372,120900,Direct,Cancelled
