Shipment_ID,Sales_Order_ID,Warehouse_ID,Transport_Mode,Dispatch_Date,Delivery_Date,SLA_Days,Actual_Days,Delivery_Status,Distance_KM,Total_Shipping_Cost,Revenue,Profit
SHP_100000,SO_104843,WH_04,Sea,14-04-2024,2024/04/24,3,10.0,Delayed,4909,2688.65,11976,9287.35
SHP_100001,SO_109704,WH_12,Road,11-02-2024,2024/02/14,3,3.0,On Time,1596,13121.4,37598,24476.6
SHP_100002,SO_107698,WH_10,Air,01-05-2024,2024/05/03,7,2.0,On Time,3519,6820.97,17925,11104.03
SHP_100003,SO_109809,WH_08,Sea,17-09-2024,2024/09/27,6,10.0,Delayed,3254,7989.27,20340,12350.73
SHP_100004,SO_104503,WH_03,Road,03-04-2024,2024/04/06,3,3.0,On Time,443,6675.38,29317,22641.62
SHP_100005,SO_105505,WH_12,Air,07-07-2024,2024/07/09,4,2.0,On Time,3433,15087.53,41429,26341.47
SHP_100006,SO_106290,WH_09,Sea,30-08-2024,2024/09/03,7,4.0,On Time,2601,14191.12,38640,24448.88
SHP_100007,SO_108784,WH_11,Sea,30-11-2024,2024/12/10,7,10.0,Delayed,4919,7043.6,22552,15508.4
SHP_100008,SO_108435,WH_06,Sea,21-01-2024,2024/01/28,7,7.0,On Time,4678,8550.6,30680,22129.4
SHP_100009,SO_103495,WH_12,Air,30-07-2024,2024/08/04,3,5.0,Delayed,4845,7738.71,32830,25091.29
SHP_100010,SO_100997,WH_05,Sea,31-01-2024,2024/02/05,5,5.0,On Time,2490,1910.44,6550,4639.56
SHP_100011,SO_103490,WH_12,Rail,31-12-2024,2025/01/05,4,5.0,Delayed,2674,14875.06,37892,23016.94
SHP_100012,SO_100994,WH_13,Sea,28-01-2024,2024/02/07,3,10.0,Delayed,2104,1726.3,6371,4644.7
SHP_100013,SO_104086,WH_01,Rail,08-04-2024,2024/04/10,5,2.0,On Time,3716,6236.22,19316,13079.78
SHP_100014,SO_106974,WH_06,Road,11-01-2024,2024/01/19,4,8.0,Delayed,3493,8805.65,29574,20768.35
SHP_100015,SO_105899,WH_15,Sea,15-01-2024,2024/01/20,5,5.0,On Time,3673,8228.46,36299,28070.54
SHP_100016,SO_103218,WH_11,Rail,02-04-2024,2024/04/11,3,9.0,Delayed,4804,11869.28,49305,37435.72
SHP_100017,SO_107495,WH_09,Rail,17-07-2024,2024/07/23,6,6.0,On Time,1625,5548.47,25968,20419.53
SHP_100018,SO_108443,WH_06,Sea,21-01-2024,2024/01/23,7,2.0,On Time,1919,6451.28,18901,12449.72
SHP_100019,SO_105644,WH_04,Air,30-09-2024,2024/10/08,3,8.0,Delayed,2445,13265.6,33410,20144.4
SHP_100020,SO_104195,WH_02,Rail,30-10-2024,2024/11/03,6,4.0,On Time,2412,6043.7,18038,11994.3
SHP_100021,SO_100048,WH_03,Rail,27-04-2024,2024/05/01,7,4.0,On Time,4336,5355.1,20813,15457.9
SHP_100022,SO_107245,WH_12,Sea,07-03-2024,2024/03/13,7,6.0,On Time,633,7119.68,17960,10840.32
SHP_100023,SO_102254,WH_03,Air,11-10-2024,2024/10/18,4,7.0,Delayed,1014,12510.85,40876,28365.15
SHP_100024,SO_101036,WH_14,Road,06-03-2024,2024/03/16,3,10.0,Delayed,2908,10390.84,28319,17928.16
SHP_100025,SO_109665,WH_13,Road,20-08-2024,2024/08/30,7,10.0,Delayed,3899,7249.17,24552,17302.83
SHP_100026,SO_101328,WH_14,Road,11-11-2024,2024/11/17,4,6.0,Delayed,328,11121.25,29121,17999.75
SHP_100027,SO_105545,WH_03,Sea,11-09-2024,2024/09/14,3,3.0,On Time,4495,6189.23,26574,20384.77
SHP_100028,SO_106904,WH_03,Road,16-08-2024,2024/08/23,7,7.0,On Time,3218,4736.44,16742,12005.56
SHP_100029,SO_106371,WH_11,Air,16-06-2024,2024/06/23,5,,Delayed,3627,10329.33,26798,16468.67
SHP_100030,SO_108330,WH_12,Air,28-04-2024,2024/05/03,3,5.0,Delayed,3788,4300.67,14269,9968.33
SHP_100031,SO_101387,WH_03,Sea,29-02-2024,2024/03/06,3,6.0,Delayed,4326,3895.34,11043,7147.66
SHP_100032,SO_100001,WH_03,Rail,21-12-2024,2024/12/26,7,5.0,On Time,3797,15175.09,40777,25601.91
SHP_100033,SO_106328,WH_11,Road,14-05-2024,2024/05/21,3,7.0,Delayed,3248,2539.55,8307,5767.45
SHP_100034,SO_100419,WH_08,Sea,26-09-2024,2024/10/01,6,5.0,On Time,2423,7639.46,25274,17634.54
SHP_100035,SO_103090,WH_03,Air,13-01-2024,2024/01/15,6,2.0,On Time,4817,4351.37,21374,17022.63
SHP_100036,SO_106408,WH_14,Rail,30-07-2024,2024/08/09,4,10.0,Delayed,647,16146.17,48569,32422.83
SHP_100037,SO_102236,WH_05,Rail,07-04-2024,2024/04/12,7,5.0,On Time,2909,7391.96,22127,14735.04
SHP_100038,SO_106063,WH_08,Air,27-12-2024,2025/01/05,5,9.0,Delayed,233,19117.41,49681,30563.59
SHP_100039,SO_107195,WH_05,Sea,31-01-2024,2024/02/09,3,9.0,Delayed,2607,9632.67,32211,22578.33
SHP_100040,SO_101805,WH_11,Sea,22-09-2024,2024/10/01,6,9.0,Delayed,1438,12817.8,47681,34863.2
SHP_100041,SO_101166,WH_03,Sea,12-01-2024,2024/01/15,3,3.0,On Time,3986,9821.29,31951,22129.71
SHP_100042,SO_106752,WH_14,Rail,23-04-2024,2024/04/26,6,3.0,On Time,456,4975.01,16055,11079.99
SHP_100043,SO_102770,WH_12,Road,09-12-2024,2024/12/15,7,6.0,On Time,2723,16956.02,46707,29750.98
SHP_100044,SO_104925,WH_06,Road,07-07-2024,2024/07/16,6,9.0,Delayed,4891,4733.89,20660,15926.11
SHP_100045,SO_109501,WH_04,Road,28-08-2024,2024/09/01,7,4.0,On Time,4205,10148.7,36159,26010.3
SHP_100046,SO_106546,WH_11,Sea,17-12-2024,2024/12/26,4,9.0,Delayed,450,13373.38,46487,33113.62
SHP_100047,SO_109707,WH_10,Sea,07-08-2024,2024/08/14,3,7.0,Delayed,229,5115.82,16765,11649.18
SHP_100048,SO_101270,WH_09,Rail,28-04-2024,2024/05/01,5,3.0,On Time,3840,16153.35,42018,25864.65
SHP_100049,SO_105697,WH_03,Sea,03-07-2024,2024/07/10,6,7.0,Delayed,3509,5860.47,15318,9457.53
